ano;sigla_uf;sigla_uf_nome;id_municipio_nome;tipo_vinculo;vinculo_ativo_3112;tipo_admissao;mes_admissao;mes_desligamento;motivo_desligamento;tempo_emprego;quantidade_horas_contratadas;indicador_trabalho_parcial;indicador_trabalho_intermitente;valor_remuneracao_media;cnae_2_subclasse_descricao_secao;idade;grau_instrucao_apos_2005;sexo;raca_cor;tamanho_estabelecimento;natureza_juridica_descricao;indicador_simples;salario_hora;ln_salario_hora
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;12.5;44;Não;Não;2823.62;Indústrias De Transformação;33;MEDIO COMPL;Feminino;Branca;De 20 a 49;Sociedade Empresária Limitada;Sim;16.043295454545454;2.775291033614334
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;48.0;40;Não;Não;4822.41;Indústrias De Transformação;41;MEDIO COMPL;Masculino;Branca;De 50 a 99;Sociedade Empresária Limitada;Não;30.1400625;3.40585526685247
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;4;Rescisão sem justa causa por iniciativa do empregado ou exoneração a pedido;7.2;44;Não;Não;2601.74;Indústrias De Transformação;30;MEDIO COMPL;Masculino;Branca;Até 4;Sociedade Empresária Limitada;Sim;14.782613636363635;2.6934517359056005
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Não;Não Admitido Ano;0;11;Rescisão sem justa causa por iniciativa do empregador.;13.0;44;Não;Não;2106.88;Indústrias De Transformação;58;MEDIO COMPL;Masculino;Branca;Zero;Sociedade Empresária Limitada;Não;11.97090909090909;2.4824794641303893
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;163.5;44;Não;Não;3541.14;Indústrias De Transformação;39;MEDIO COMPL;Feminino;Branca;De 100 a 249;Sociedade Empresária Limitada;Não;20.120113636363637;3.001719993146187
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;116.5;44;Não;Não;2115.01;Indústrias De Transformação;37;MEDIO COMPL;Feminino;Branca;De 5 a 9;Empresário (Individual);Sim;12.017102272727273;2.486330824563437
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;38.6;44;Não;Não;2811.97;Indústrias De Transformação;42;MEDIO COMPL;Masculino;Branca;De 20 a 49;Sociedade Empresária Limitada;Não;15.977102272727272;2.771156589272194
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Reemprego;8;0;;4.1;44;Não;Não;2449.0;Indústrias De Transformação;28;MEDIO COMPL;Masculino;Branca;De 5 a 9;Empresário (Individual);Sim;13.914772727272727;2.632951061914016
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ DET;Não;Não Admitido Ano;0;2;Término do contrato de trabalho.;1.4;44;Não;Não;2546.21;Indústrias De Transformação;42;MEDIO COMPL;Masculino;Preta;De 20 a 49;Sociedade Empresária Limitada;Sim;14.467102272727272;2.671877263002936
2024;SC;Santa Catarina;Florianópolis;CLT U/PJ IND;Sim;Não Admitido Ano;0;0;;12.9;44;Não;Não;2320.14;Indústrias De Transformação;27;MEDIO COMPL;Masculino;Parda;De 100 a 249;Sociedade Empresária Limitada;Não;13.182613636363635;2.578898812629114
